날짜,PM10_1,PM10_2,PM25_1,PM25_2,O3_1,O3_2,NO2_1,NO2_2,CO_1,Co_2,SO2_1,SO2_2
2021-04-25:15,좋음,23,좋음,10,보통,0.050,좋음,0.008,좋음,0.3,좋음,0.002
2021-04-25:14,좋음,24,좋음,10,보통,0.049,좋음,0.007,좋음,0.3,좋음,0.002
2021-04-25:13,좋음,27,좋음,8,보통,0.046,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-25:12,좋음,23,좋음,9,보통,0.043,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-25:11,좋음,27,좋음,12,보통,0.044,좋음,0.007,좋음,0.3,좋음,0.002
2021-04-25:10,좋음,26,좋음,11,보통,0.040,좋음,0.010,좋음,0.3,좋음,0.003
2021-04-25:09,보통,32,좋음,14,보통,0.039,좋음,0.011,좋음,0.3,좋음,0.003
2021-04-25:08,좋음,30,좋음,13,보통,0.035,좋음,0.013,좋음,0.3,좋음,0.003
2021-04-25:07,보통,31,보통,17,좋음,0.028,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-25:06,보통,31,보통,17,좋음,0.022,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-25:05,보통,34,보통,20,좋음,0.022,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-25:04,좋음,30,보통,17,좋음,0.026,좋음,0.019,좋음,0.4,좋음,0.002
2021-04-25:03,보통,34,보통,20,좋음,0.023,좋음,0.024,좋음,0.4,좋음,0.003
2021-04-25:02,보통,32,보통,17,좋음,0.021,보통,0.031,좋음,0.4,좋음,0.002
2021-04-25:01,보통,34,보통,16,좋음,0.028,좋음,0.027,좋음,0.4,좋음,0.003
2021-04-24:24,좋음,27,좋음,15,보통,0.035,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-24:23,좋음,30,좋음,15,보통,0.042,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-24:22,보통,34,좋음,15,보통,0.036,좋음,0.024,좋음,0.4,좋음,0.003
2021-04-24:21,보통,32,좋음,13,보통,0.032,좋음,0.029,좋음,0.4,좋음,0.003
2021-04-24:20,보통,31,좋음,14,보통,0.042,좋음,0.018,좋음,0.3,좋음,0.002
2021-04-24:19,좋음,29,좋음,12,보통,0.048,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-24:18,좋음,25,좋음,10,보통,0.050,좋음,0.008,좋음,0.3,좋음,0.003
2021-04-24:17,좋음,28,좋음,13,보통,0.050,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-24:16,좋음,24,좋음,10,보통,0.047,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-24:15,좋음,28,좋음,12,보통,0.046,좋음,0.011,좋음,0.3,좋음,0.003
2021-04-24:14,좋음,27,좋음,12,보통,0.049,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-24:13,좋음,18,좋음,11,보통,0.051,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-24:12,좋음,17,좋음,9,보통,0.044,좋음,0.017,좋음,0.3,좋음,0.002
2021-04-24:11,좋음,20,좋음,9,보통,0.041,좋음,0.019,좋음,0.3,좋음,0.001
2021-04-24:10,좋음,21,좋음,9,보통,0.036,좋음,0.022,좋음,0.3,좋음,0.002
2021-04-24:09,좋음,26,좋음,10,보통,0.039,좋음,0.018,좋음,0.3,좋음,0.002
2021-04-24:08,좋음,22,좋음,10,보통,0.034,좋음,0.022,좋음,0.3,좋음,0.002
2021-04-24:07,좋음,24,좋음,10,보통,0.037,좋음,0.016,좋음,0.3,좋음,0.002
2021-04-24:06,좋음,19,좋음,10,보통,0.038,좋음,0.015,좋음,0.3,좋음,0.002
2021-04-24:05,좋음,20,좋음,10,보통,0.043,좋음,0.008,좋음,0.3,좋음,0.002
2021-04-24:04,좋음,21,좋음,10,보통,0.040,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-24:03,좋음,20,좋음,13,보통,0.033,좋음,0.015,좋음,0.3,좋음,0.002
2021-04-24:02,좋음,20,좋음,10,보통,0.039,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-24:01,좋음,21,좋음,11,보통,0.035,좋음,0.015,좋음,0.3,좋음,0.003
2021-04-23:24,좋음,22,좋음,11,보통,0.031,좋음,0.022,좋음,0.3,좋음,0.002
2021-04-23:23,좋음,25,좋음,13,보통,0.031,좋음,0.021,좋음,0.3,좋음,0.003
2021-04-23:22,좋음,26,좋음,14,보통,0.034,좋음,0.020,좋음,0.3,좋음,0.002
2021-04-23:21,좋음,29,보통,18,보통,0.031,좋음,0.026,좋음,0.4,좋음,0.002
2021-04-23:20,좋음,30,보통,16,좋음,0.025,보통,0.032,좋음,0.4,좋음,0.003
2021-04-23:19,좋음,30,좋음,15,보통,0.036,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-23:18,좋음,30,좋음,14,보통,0.036,좋음,0.024,좋음,0.4,좋음,0.002
2021-04-23:17,보통,34,좋음,13,보통,0.035,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-23:16,보통,34,좋음,13,보통,0.038,좋음,0.023,좋음,0.4,좋음,0.002
2021-04-23:15,보통,38,좋음,14,보통,0.038,좋음,0.023,좋음,0.4,좋음,0.002
2021-04-23:14,보통,36,좋음,14,보통,0.036,좋음,0.027,좋음,0.4,좋음,0.003
2021-04-23:13,보통,45,보통,19,보통,0.037,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-23:12,보통,49,보통,20,보통,0.038,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-23:11,보통,56,보통,25,보통,0.036,좋음,0.028,좋음,0.5,좋음,0.003
2021-04-23:10,보통,51,보통,27,보통,0.033,보통,0.031,좋음,0.5,좋음,0.002
2021-04-23:09,보통,58,보통,28,보통,0.039,좋음,0.024,좋음,0.5,좋음,0.003
2021-04-23:08,보통,58,보통,28,보통,0.038,좋음,0.028,좋음,0.5,좋음,0.003
2021-04-23:07,보통,58,보통,29,보통,0.036,보통,0.032,좋음,0.5,좋음,0.003
2021-04-23:06,보통,62,보통,33,보통,0.043,좋음,0.024,좋음,0.4,좋음,0.003
2021-04-23:05,보통,73,나쁨,38,보통,0.055,좋음,0.012,좋음,0.5,좋음,0.004
2021-04-23:04,보통,66,나쁨,37,보통,0.056,좋음,0.018,좋음,0.5,좋음,0.004
2021-04-23:03,보통,67,나쁨,37,보통,0.057,좋음,0.021,좋음,0.5,좋음,0.005
2021-04-23:02,보통,63,보통,32,보통,0.053,좋음,0.025,좋음,0.6,좋음,0.004
2021-04-23:01,보통,67,보통,35,보통,0.064,좋음,0.020,좋음,0.5,좋음,0.004
2021-04-22:24,보통,71,나쁨,37,보통,0.071,좋음,0.018,좋음,0.5,좋음,0.004
2021-04-22:23,보통,76,나쁨,38,보통,0.077,좋음,0.017,좋음,0.5,좋음,0.005
